,0
1,1.670371959
2,1.088723505
3,0.837910195
4,0.812604559
5,0.912919329
6,1.150784834
7,1.632743487
8,1.381955215
9,0.483982132
10,1.248400119
11,0.834235127
12,-0.367292764
13,1.317410084
14,0.423158314
15,1.595148627
16,0.175538748
17,1.3113386
18,0.889860054
19,1.210461385
20,0.708855181
