PGTV_Dose,PGTV_Vol_means,PGTV_Vol_vars,PGTV_Vol_maxs,PGTV_Vol_mins,GTV_Dose,GTV_Vol_means,GTV_Vol_vars,GTV_Vol_maxs,GTV_Vol_mins,PTV_Dose,PTV_Vol_means,PTV_Vol_vars,PTV_Vol_maxs,PTV_Vol_mins,CTV_Dose,CTV_Vol_means,CTV_Vol_vars,CTV_Vol_maxs,CTV_Vol_mins,Femoral Head_Dose,Femoral Head_Vol_means,Femoral Head_Vol_vars,Femoral Head_Vol_maxs,Femoral Head_Vol_mins,Bladder_Dose,Bladder_Vol_means,Bladder_Vol_vars,Bladder_Vol_maxs,Bladder_Vol_mins,Body_Dose,Body_Vol_means,Body_Vol_vars,Body_Vol_maxs,Body_Vol_mins
0.29,100,0,100,100,0.29,100,0,100,100,0.29,100,0,100,100,0.29,100,0,100,100,0.29,100,0,100,100,0.29,100,0,100,100,0.29,97.49084545,4.702813999,99.99978932,79.11899021
0.3,100,0,100,100,0.3,100,0,100,100,0.3,100,0,100,100,0.3,100,0,100,100,0.3,100,0,100,100,0.3,100,0,100,100,0.3,97.26421299,4.887875529,99.99973254,78.42548036
0.31,100,0,100,100,0.31,100,0,100,100,0.31,100,0,100,100,0.31,100,0,100,100,0.31,100,0,100,100,0.31,100,0,100,100,0.31,97.03174577,5.073869239,99.9995425,77.75186153
0.32,100,0,100,100,0.32,100,0,100,100,0.32,100,0,100,100,0.32,100,0,100,100,0.32,100,0,100,100,0.32,100,0,100,100,0.32,96.79576273,5.258923904,99.9991573,77.10430274
0.33,100,0,100,100,0.33,100,0,100,100,0.33,100,0,100,100,0.33,100,0,100,100,0.33,100,0,100,100,0.33,100,0,100,100,0.33,96.55555515,5.443451611,99.99860548,76.4745773
0.34,100,0,100,100,0.34,100,0,100,100,0.34,100,0,100,100,0.34,100,0,100,100,0.34,100,0,100,100,0.34,100,0,100,100,0.34,96.31206872,5.626098502,99.99780442,75.8659534
0.35,100,0,100,100,0.35,100,0,100,100,0.35,100,0,100,100,0.35,100,0,100,100,0.35,100,0,100,100,0.35,100,0,100,100,0.35,96.06613242,5.805754102,99.99686027,75.28074429
0.36,100,0,100,100,0.36,100,0,100,100,0.36,100,0,100,100,0.36,100,0,100,100,0.36,100,0,100,100,0.36,100,0,100,100,0.36,95.8193078,5.980433889,99.99574705,74.72333392
0.37,100,0,100,100,0.37,100,0,100,100,0.37,100,0,100,100,0.37,100,0,100,100,0.37,100,0,100,100,0.37,100,0,100,100,0.37,95.57114146,6.150321688,99.99447513,74.18818055
0.38,100,0,100,100,0.38,100,0,100,100,0.38,100,0,100,100,0.38,100,0,100,100,0.38,100,0,100,100,0.38,100,0,100,100,0.38,95.32317296,6.315249423,99.99300918,73.67459944
0.39,100,0,100,100,0.39,100,0,100,100,0.39,100,0,100,100,0.39,100,0,100,100,0.39,100,0,100,100,0.39,100,0,100,100,0.39,95.07482473,6.475510331,99.9912912,73.17874683
0.4,100,0,100,100,0.4,100,0,100,100,0.4,100,0,100,100,0.4,100,0,100,100,0.4,100,0,100,100,0.4,100,0,100,100,0.4,94.82683062,6.630644332,99.98930525,72.69947346
0.41,100,0,100,100,0.41,100,0,100,100,0.41,100,0,100,100,0.41,100,0,100,100,0.41,100,0,100,100,0.41,100,0,100,100,0.41,94.57956421,6.78119378,99.98710246,72.2360246
0.42,100,0,100,100,0.42,100,0,100,100,0.42,100,0,100,100,0.42,100,0,100,100,0.42,100,0,100,100,0.42,100,0,100,100,0.42,94.33306392,6.927433448,99.98469643,71.78756827
0.43,100,0,100,100,0.43,100,0,100,100,0.43,100,0,100,100,0.43,100,0,100,100,0.43,100,0,100,100,0.43,100,0,100,100,0.43,94.08680206,7.0696634,99.98206746,71.35179851
0.44,100,0,100,100,0.44,100,0,100,100,0.44,100,0,100,100,0.44,100,0,100,100,0.44,100,0,100,100,0.44,100,0,100,100,0.44,93.84003234,7.208551964,99.97922167,70.92621076
0.45,100,0,100,100,0.45,100,0,100,100,0.45,100,0,100,100,0.45,100,0,100,100,0.45,100,0,100,100,0.45,100,0,100,100,0.45,93.59250091,7.344082521,99.97618509,70.51024802
0.46,100,0,100,100,0.46,100,0,100,100,0.46,100,0,100,100,0.46,100,0,100,100,0.46,100,0,100,100,0.46,100,0,100,100,0.46,93.34356305,7.4759843,99.97291983,70.10641793
0.47,100,0,100,100,0.47,100,0,100,100,0.47,100,0,100,100,0.47,100,0,100,100,0.47,100,0,100,100,0.47,100,0,100,100,0.47,93.09255468,7.604075607,99.96942792,69.71533117
0.48,100,0,100,100,0.48,100,0,100,100,0.48,100,0,100,100,0.48,100,0,100,100,0.48,100,0,100,100,0.48,100,0,100,100,0.48,92.8401996,7.727692265,99.96569224,69.33569285
0.49,100,0,100,100,0.49,100,0,100,100,0.49,100,0,100,100,0.49,100,0,100,100,0.49,100,0,100,100,0.49,100,0,100,100,0.49,92.58662916,7.847371328,99.96163734,68.96482362
0.5,100,0,100,100,0.5,100,0,100,100,0.5,100,0,100,100,0.5,100,0,100,100,0.5,100,0,100,100,0.5,100,0,100,100,0.5,92.33268803,7.96380844,99.95728099,68.60277465
0.51,100,0,100,100,0.51,100,0,100,100,0.51,100,0,100,100,0.51,100,0,100,100,0.51,99.99996392,0.000161369,100,99.99927834,0.51,100,0,100,100,0.51,92.07854346,8.076684926,99.95258474,68.25011097
0.52,100,0,100,100,0.52,100,0,100,100,0.52,100,0,100,100,0.52,100,0,100,100,0.52,99.99969261,0.001374669,100,99.99385229,0.52,100,0,100,100,0.52,91.82456644,8.186193616,99.94757917,67.90663956
0.53,100,0,100,100,0.53,100,0,100,100,0.53,100,0,100,100,0.53,100,0,100,100,0.53,99.99911766,0.003945963,100,99.98235312,0.53,100,0,100,100,0.53,91.57111819,8.292727749,99.94220265,67.57301412
