PGTV_Dose,PGTV_Vol_means,PGTV_Vol_vars,PGTV_Vol_maxs,PGTV_Vol_mins,GTV_Dose,GTV_Vol_means,GTV_Vol_vars,GTV_Vol_maxs,GTV_Vol_mins,PTV_Dose,PTV_Vol_means,PTV_Vol_vars,PTV_Vol_maxs,PTV_Vol_mins,CTV_Dose,CTV_Vol_means,CTV_Vol_vars,CTV_Vol_maxs,CTV_Vol_mins,Femoral Head_Dose,Femoral Head_Vol_means,Femoral Head_Vol_vars,Femoral Head_Vol_maxs,Femoral Head_Vol_mins,Bladder_Dose,Bladder_Vol_means,Bladder_Vol_vars,Bladder_Vol_maxs,Bladder_Vol_mins,Body_Dose,Body_Vol_means,Body_Vol_vars,Body_Vol_maxs,Body_Vol_mins
0.29,100,0,100,100,0.29,100,0,100,100,0.29,100,0,100,100,0.29,100,0,100,100,0.29,100,0,100,100,0.29,100,0,100,100,0.29,97.2458771,4.814135521,99.99816998,79.30761334
0.3,100,0,100,100,0.3,100,0,100,100,0.3,100,0,100,100,0.3,100,0,100,100,0.3,100,0,100,100,0.3,100,0,100,100,0.3,97.0100177,5.010231818,99.99700446,78.61579786
0.31,100,0,100,100,0.31,100,0,100,100,0.31,100,0,100,100,0.31,100,0,100,100,0.31,100,0,100,100,0.31,100,0,100,100,0.31,96.77009154,5.206789636,99.99554747,77.9442518
0.32,100,0,100,100,0.32,100,0,100,100,0.32,100,0,100,100,0.32,100,0,100,100,0.32,100,0,100,100,0.32,100,0,100,100,0.32,96.52728769,5.402269937,99.99381875,77.29293583
0.33,100,0,100,100,0.33,100,0,100,100,0.33,100,0,100,100,0.33,100,0,100,100,0.33,100,0,100,100,0.33,100,0,100,100,0.33,96.28091644,5.597017354,99.99177759,76.66041253
0.34,100,0,100,100,0.34,100,0,100,100,0.34,100,0,100,100,0.34,100,0,100,100,0.34,100,0,100,100,0.34,100,0,100,100,0.34,96.03114109,5.790085068,99.98939541,76.0493161
0.35,100,0,100,100,0.35,100,0,100,100,0.35,100,0,100,100,0.35,100,0,100,100,0.35,100,0,100,100,0.35,100,0,100,100,0.35,95.78001709,5.979235904,99.98666214,75.46069069
0.36,100,0,100,100,0.36,100,0,100,100,0.36,100,0,100,100,0.36,100,0,100,100,0.36,100,0,100,100,0.36,100,0,100,100,0.36,95.52999492,6.161896066,99.98371076,74.89779215
0.37,100,0,100,100,0.37,100,0,100,100,0.37,100,0,100,100,0.37,100,0,100,100,0.37,100,0,100,100,0.37,100,0,100,100,0.37,95.28118192,6.338059128,99.98047526,74.356618
0.38,100,0,100,100,0.38,100,0,100,100,0.38,100,0,100,100,0.38,100,0,100,100,0.38,100,0,100,100,0.38,100,0,100,100,0.38,95.03419027,6.506870551,99.97699937,73.83866077
