PGTV_Dose,PGTV_Vol_means,PGTV_Vol_vars,PGTV_Vol_maxs,PGTV_Vol_mins,GTV_Dose,GTV_Vol_means,GTV_Vol_vars,GTV_Vol_maxs,GTV_Vol_mins,PTV_Dose,PTV_Vol_means,PTV_Vol_vars,PTV_Vol_maxs,PTV_Vol_mins,CTV_Dose,CTV_Vol_means,CTV_Vol_vars,CTV_Vol_maxs,CTV_Vol_mins,Femoral Head_Dose,Femoral Head_Vol_means,Femoral Head_Vol_vars,Femoral Head_Vol_maxs,Femoral Head_Vol_mins,Bladder_Dose,Bladder_Vol_means,Bladder_Vol_vars,Bladder_Vol_maxs,Bladder_Vol_mins,Body_Dose,Body_Vol_means,Body_Vol_vars,Body_Vol_maxs,Body_Vol_mins
0.29,100,0,100,100,0.29,100,0,100,100,0.29,100,0,100,100,0.29,100,0,100,100,0.29,100,0,100,100,0.29,100,0,100,100,0.29,97.47275576,4.595518368,99.98522597,79.94656732
0.3,100,0,100,100,0.3,100,0,100,100,0.3,100,0,100,100,0.3,100,0,100,100,0.3,100,0,100,100,0.3,100,0,100,100,0.3,97.24365068,4.77983132,99.98517867,79.2624282
0.31,100,0,100,100,0.31,100,0,100,100,0.31,100,0,100,100,0.31,100,0,100,100,0.31,100,0,100,100,0.31,100,0,100,100,0.31,97.00947399,4.963961521,99.98501079,78.59772268
0.32,100,0,100,100,0.32,100,0,100,100,0.32,100,0,100,100,0.32,100,0,100,100,0.32,100,0,100,100,0.32,100,0,100,100,0.32,96.76988804,5.147983348,99.98464099,77.95284001
0.33,100,0,100,100,0.33,100,0,100,100,0.33,100,0,100,100,0.33,100,0,100,100,0.33,100,0,100,100,0.33,100,0,100,100,0.33,96.52556317,5.331637423,99.98404012,77.32332836
0.34,100,0,100,100,0.34,100,0,100,100,0.34,100,0,100,100,0.34,100,0,100,100,0.34,100,0,100,100,0.34,100,0,100,100,0.34,96.27783029,5.512959442,99.98314732,76.71821424
0.35,100,0,100,100,0.35,100,0,100,100,0.35,100,0,100,100,0.35,100,0,100,100,0.35,100,0,100,100,0.35,100,0,100,100,0.35,96.02830584,5.692542255,99.98192713,76.13308234
0.36,100,0,100,100,0.36,100,0,100,100,0.36,100,0,100,100,0.36,100,0,100,100,0.36,100,0,100,100,0.36,100,0,100,100,0.36,95.77802522,5.868334031,99.98043551,75.56966518
0.37,100,0,100,100,0.37,100,0,100,100,0.37,100,0,100,100,0.37,100,0,100,100,0.37,100,0,100,100,0.37,100,0,100,100,0.37,95.52733225,6.040073574,99.97871855,75.02514339
0.38,100,0,100,100,0.38,100,0,100,100,0.38,100,0,100,100,0.38,100,0,100,100,0.38,100,0,100,100,0.38,100,0,100,100,0.38,95.27652764,6.207009645,99.97670464,74.50156969
0.39,100,0,100,100,0.39,100,0,100,100,0.39,100,0,100,100,0.39,100,0,100,100,0.39,100,0,100,100,0.39,100,0,100,100,0.39,95.0261296,6.368842706,99.97451243,74.00009275
0.4,100,0,100,100,0.4,100,0,100,100,0.4,100,0,100,100,0.4,100,0,100,100,0.4,100,0,100,100,0.4,100,0,100,100,0.4,94.7770512,6.524384671,99.97214416,73.52178592
0.41,100,0,100,100,0.41,100,0,100,100,0.41,100,0,100,100,0.41,100,0,100,100,0.41,100,0,100,100,0.41,100,0,100,100,0.41,94.52856245,6.67504047,99.96962461,73.05769868
0.42,100,0,100,100,0.42,100,0,100,100,0.42,100,0,100,100,0.42,100,0,100,100,0.42,100,0,100,100,0.42,100,0,100,100,0.42,94.28074824,6.821613603,99.96689449,72.60619971
0.43,100,0,100,100,0.43,100,0,100,100,0.43,100,0,100,100,0.43,100,0,100,100,0.43,99.99999888,5.02E-06,100,99.99997756,0.43,100,0,100,100,0.43,94.03356964,6.964308374,99.96397138,72.16596591
0.44,100,0,100,100,0.44,100,0,100,100,0.44,100,0,100,100,0.44,100,0,100,100,0.44,99.99999687,1.40E-05,100,99.99993741,0.44,100,0,100,100,0.44,93.78737532,7.102917638,99.96086659,71.73926657
