PGTV_Dose,PGTV_Vol_means,PGTV_Vol_vars,PGTV_Vol_maxs,PGTV_Vol_mins,GTV_Dose,GTV_Vol_means,GTV_Vol_vars,GTV_Vol_maxs,GTV_Vol_mins,PTV_Dose,PTV_Vol_means,PTV_Vol_vars,PTV_Vol_maxs,PTV_Vol_mins,CTV_Dose,CTV_Vol_means,CTV_Vol_vars,CTV_Vol_maxs,CTV_Vol_mins,Femoral Head_Dose,Femoral Head_Vol_means,Femoral Head_Vol_vars,Femoral Head_Vol_maxs,Femoral Head_Vol_mins,Bladder_Dose,Bladder_Vol_means,Bladder_Vol_vars,Bladder_Vol_maxs,Bladder_Vol_mins,Body_Dose,Body_Vol_means,Body_Vol_vars,Body_Vol_maxs,Body_Vol_mins
0.25,100,0,100,100,0.25,100,0,100,100,0.25,100,0,100,100,0.25,100,0,100,100,0.25,100,0,100,100,0.25,100,0,100,100,0.25,98.25611471,3.985996662,99.99954701,82.28475281
0.26,100,0,100,100,0.26,100,0,100,100,0.26,100,0,100,100,0.26,100,0,100,100,0.26,100,0,100,100,0.26,100,0,100,100,0.26,98.07115797,4.184341091,99.99890902,81.50278405
0.27,100,0,100,100,0.27,100,0,100,100,0.27,100,0,100,100,0.27,100,0,100,100,0.27,100,0,100,100,0.27,100,0,100,100,0.27,97.87637222,4.380022786,99.99828621,80.74840758
0.28,100,0,100,100,0.28,100,0,100,100,0.28,100,0,100,100,0.28,100,0,100,100,0.28,100,0,100,100,0.28,100,0,100,100,0.28,97.66955232,4.573544853,99.99717612,80.018595
0.29,100,0,100,100,0.29,100,0,100,100,0.29,100,0,100,100,0.29,100,0,100,100,0.29,100,0,100,100,0.29,100,0,100,100,0.29,97.45273676,4.765345971,99.99534005,79.31248319
0.3,100,0,100,100,0.3,100,0,100,100,0.3,100,0,100,100,0.3,100,0,100,100,0.3,100,0,100,100,0.3,100,0,100,100,0.3,97.23033294,4.958806034,99.99290642,78.6205601
0.31,100,0,100,100,0.31,100,0,100,100,0.31,100,0,100,100,0.31,100,0,100,100,0.31,100,0,100,100,0.31,100,0,100,100,0.31,97.00270558,5.153373222,99.99064243,77.94501034
0.32,100,0,100,100,0.32,100,0,100,100,0.32,100,0,100,100,0.32,100,0,100,100,0.32,100,0,100,100,0.32,100,0,100,100,0.32,96.77023441,5.348500297,99.98804254,77.28579483
0.33,100,0,100,100,0.33,100,0,100,100,0.33,100,0,100,100,0.33,100,0,100,100,0.33,100,0,100,100,0.33,100,0,100,100,0.33,96.53580853,5.540625322,99.98514731,76.65231272
0.34,100,0,100,100,0.34,100,0,100,100,0.34,100,0,100,100,0.34,100,0,100,100,0.34,100,0,100,100,0.34,100,0,100,100,0.34,96.29849724,5.729873851,99.98190647,76.04230183
0.35,100,0,100,100,0.35,100,0,100,100,0.35,100,0,100,100,0.35,100,0,100,100,0.35,100,0,100,100,0.35,100,0,100,100,0.35,96.05805026,5.914714869,99.97839668,75.45984499
0.36,100,0,100,100,0.36,100,0,100,100,0.36,100,0,100,100,0.36,100,0,100,100,0.36,100,0,100,100,0.36,100,0,100,100,0.36,95.81635163,6.093901946,99.97461213,74.90252444
0.37,100,0,100,100,0.37,100,0,100,100,0.37,100,0,100,100,0.37,100,0,100,100,0.37,100,0,100,100,0.37,100,0,100,100,0.37,95.5732125,6.267489134,99.97060924,74.36856091
0.38,100,0,100,100,0.38,100,0,100,100,0.38,100,0,100,100,0.38,100,0,100,100,0.38,100,0,100,100,0.38,100,0,100,100,0.38,95.32829559,6.436041715,99.9664263,73.85312976
0.39,100,0,100,100,0.39,100,0,100,100,0.39,100,0,100,100,0.39,100,0,100,100,0.39,100,0,100,100,0.39,100,0,100,100,0.39,95.0832056,6.598706627,99.96203768,73.35547995
0.4,100,0,100,100,0.4,100,0,100,100,0.4,100,0,100,100,0.4,100,0,100,100,0.4,100,0,100,100,0.4,100,0,100,100,0.4,94.83845401,6.755092366,99.95750588,72.87363218
0.41,100,0,100,100,0.41,100,0,100,100,0.41,100,0,100,100,0.41,100,0,100,100,0.41,100,0,100,100,0.41,100,0,100,100,0.41,94.59320664,6.904828251,99.95284734,72.40551506
0.42,100,0,100,100,0.42,100,0,100,100,0.42,100,0,100,100,0.42,100,0,100,100,0.42,100,0,100,100,0.42,100,0,100,100,0.42,94.34763549,7.048602322,99.94804292,71.95261695
0.43,100,0,100,100,0.43,100,0,100,100,0.43,100,0,100,100,0.43,100,0,100,100,0.43,100,0,100,100,0.43,100,0,100,100,0.43,94.10083923,7.187740335,99.94316404,71.51361852
0.44,100,0,100,100,0.44,100,0,100,100,0.44,100,0,100,100,0.44,100,0,100,100,0.44,100,0,100,100,0.44,100,0,100,100,0.44,93.8535967,7.323019031,99.93821315,71.0847327
0.45,100,0,100,100,0.45,100,0,100,100,0.45,100,0,100,100,0.45,100,0,100,100,0.45,100,0,100,100,0.45,100,0,100,100,0.45,93.60533435,7.454494269,99.93297173,70.66531119
0.46,100,0,100,100,0.46,100,0,100,100,0.46,100,0,100,100,0.46,100,0,100,100,0.46,100,0,100,100,0.46,100,0,100,100,0.46,93.3562918,7.582235875,99.92754171,70.25469094
0.47,100,0,100,100,0.47,100,0,100,100,0.47,100,0,100,100,0.47,100,0,100,100,0.47,100,0,100,100,0.47,100,0,100,100,0.47,93.10579111,7.706237275,99.92207505,69.85572905
0.48,100,0,100,100,0.48,100,0,100,100,0.48,100,0,100,100,0.48,100,0,100,100,0.48,99.99995357,0.000207639,100,99.99907141,0.48,100,0,100,100,0.48,92.85449573,7.826225493,99.91644956,69.46853683
0.49,100,0,100,100,0.49,100,0,100,100,0.49,100,0,100,100,0.49,100,0,100,100,0.49,99.99951047,0.002189242,100,99.99020941,0.49,100,0,100,100,0.49,92.60270625,7.942190988,99.91045553,69.09325929
0.5,100,0,100,100,0.5,100,0,100,100,0.5,100,0,100,100,0.5,100,0,100,100,0.5,99.99857287,0.006382326,100,99.97145737,0.5,100,0,100,100,0.5,92.35005599,8.054565593,99.90403254,68.72695622
0.51,100,0,100,100,0.51,100,0,100,100,0.51,100,0,100,100,0.51,100,0,100,100,0.51,99.99725431,0.012279081,100,99.94508628,0.51,100,0,100,100,0.51,92.09575937,8.162503157,99.89742665,68.37199791
0.52,100,0,100,100,0.52,100,0,100,100,0.52,100,0,100,100,0.52,100,0,100,100,0.52,99.99558543,0.019742556,100,99.91170861,0.52,100,0,100,100,0.52,91.8402977,8.266212834,99.89030266,68.02826979
0.53,100,0,100,100,0.53,100,0,100,100,0.53,100,0,100,100,0.53,100,0,100,100,0.53,99.99351958,0.028981333,100,99.87039154,0.53,100,0,100,100,0.53,91.58496603,8.366684168,99.88226353,67.69400627
