Body_max_DoseLimit,Body_max_Priority,CTV_min_DoseLimit,CTV_min_Priority,PTV_min_DoseLimit,PTV_min_Priority,PGTV_min_DoseLimit,PGTV_min_Priority,GTV_min_DoseLimit,GTV_min_Priority,IV_max_DoseLimit,IV_max_Priority,IV_min_DoseLimit,IV_min_Priority,Avoidance_max_DoseLimit,Avoidance_max_Priority,Avoidance_mean_DoseLimit,Avoidance_mean_Priority,FH_mean_DoseLimit,FH_mean_Priority,FH_max_DoseLimit,FH_max_Priority,FH_40%_DoseLimit,FH_40%_Priority,FH_25%_DoseLimit,FH_25%_Priority,UB_mean_DoseLimit,UB_mean_Priority,UB_max_DoseLimit,UB_max_Priority,UB_40%_DoseLimit,UB_40%_Priority,UB_15%_DoseLimit,UB_15%_Priority
53.13,1000,43.89,450.6670108,42.16114352,588.0644036,50.6,842.9014549,51.21975672,922.6734666,47.75741686,100,41.58932448,210.8357078,35.07307599,137.5059133,16.98086912,427.9934821,7.26239966,376.2116922,38.32447465,731.5181919,6.597731347,109.5190751,17.12874223,391.2095362,16.61275055,523.8036715,40,272.3077351,13.71772398,977.5275815,40,616.6987088
52.58229367,871.721114,42.78096204,1000,41.8,1000,50.6,580.7963359,52.58229367,1000,45.20118599,224.0699215,44.72184341,100,45,100,10.43110278,702.9690194,15,406.7056603,50,1000,20,871.9848117,6.186329284,100,16.86346155,507.7967045,18.76096989,138.0988672,14.2871456,963.3641555,18.76096989,250.6687414
51.30779801,1000,43.35942716,649.9229805,42.8822249,696.6642176,51.30779801,1000,50.89124575,1000,47.24953614,530.0195603,41.45520883,100,45,479.9239365,18.74073551,183.1300021,8.413874414,258.8281681,50,827.8971709,15.60487338,242.6113647,20,837.3983096,20,211.6144879,48.30341007,642.8956887,1,389.1392594,29.56071389,993.7769551
51.58567128,960.1018324,43.89,728.2385367,41.8,979.8921628,50.73876677,1000,51.58567128,1000,46.90683548,267.2499792,40.85,649.815897,29.52965153,1000,20,412.1032942,13.62916142,887.3747149,50,1000,11.94115233,1000,12.85025727,115.7160697,11.41308122,377.7313996,44.62152492,100,25,100,40,303.4965362
51.44429951,833.6948364,43.89,459.254026,43.10025311,660.6757997,51.44429951,1000,51.44429951,627.6281032,48.34163903,567.5867383,42.41120483,441.8862248,33.9148066,225.1041672,8.66331934,162.6692963,12.0424867,100,19.41909543,532.0741036,9.029190648,627.801225,12.80066903,100,13.34563374,644.4210976,45.30567546,852.4301736,25,1000,31.33570332,133.1429707
51.2513493,1000,43.89,577.0652834,41.87907413,1000,51.2513493,1000,51.2513493,1000,44.65,242.8068335,45.15,100,26.68072538,499.2324988,18.62755227,541.086482,2.18351571,100,31.2421026,100,20,622.7473781,15.95478602,622.8194046,17.09558675,931.3418617,17.09558675,100,12.23060654,100,12.23060654,376.6277989
52.71695619,811.7678185,43.70661751,589.2093432,41.8,966.509058,51.44846003,584.02748,51.87758492,1000,45.40932913,100,44.58965917,244.8248344,45,727.298814,11.47012472,604.0133977,15,199.5919884,44.53840403,213.5600382,14.23734889,652.5147405,14.75397375,994.2415515,20,207.7289172,37.93824794,344.3954272,18.63764711,755.2573873,37.93824794,265.063491
53.13,1000,43.54946944,1000,43.02621843,721.2899922,50.86344077,1000,51.46085003,726.4178853,48.55797032,808.8325098,43.71026753,431.3905482,20.24259397,497.6879382,7.555061723,100,7.961746783,1000,39.64823105,336.9151029,8.493140731,251.6100971,16.63956161,1000,16.71415754,100,40.82323522,599.0825378,5.91715516,441.3479651,16.97725254,147.0885233
52.38498039,1000,43.31450327,767.789559,43.31450327,172.5516354,52.38443081,560.1280991,52.38498039,671.487975,46.69497168,161.7787732,41.83773981,1000,45,163.8883014,13.46459489,100,12.39734389,301.3535614,20.5599533,808.0952268,20,687.8354853,19.22409279,812.7199073,9.393602779,292.1586754,22.29062203,164.2369228,22.29062203,861.6612728,22.29062203,100
52.30287302,931.1312499,43.89,769.0320532,42.770138,529.6985408,50.6,1000,52.30287302,579.4073882,49.35,988.6625449,40.93943126,492.9190167,42.07016651,265.5253877,17.55896719,151.7691528,13.06986074,625.6303505,30.91871472,100,12.56967605,360.736252,1,100,1,100,23.40610465,271.022992,8.628918107,420.1225408,23.40610465,258.6746646
