Body_max_DoseLimit,Body_max_Priority,CTV_min_DoseLimit,CTV_min_Priority,PTV_min_DoseLimit,PTV_min_Priority,PGTV_min_DoseLimit,PGTV_min_Priority,GTV_min_DoseLimit,GTV_min_Priority,IV_max_DoseLimit,IV_max_Priority,IV_min_DoseLimit,IV_min_Priority,Avoidance_max_DoseLimit,Avoidance_max_Priority,Avoidance_mean_DoseLimit,Avoidance_mean_Priority,FH_mean_DoseLimit,FH_mean_Priority,FH_max_DoseLimit,FH_max_Priority,FH_40%_DoseLimit,FH_40%_Priority,FH_25%_DoseLimit,FH_25%_Priority,UB_mean_DoseLimit,UB_mean_Priority,UB_max_DoseLimit,UB_max_Priority,UB_40%_DoseLimit,UB_40%_Priority,UB_15%_DoseLimit,UB_15%_Priority
52.30798691,905.2960861,43.45327378,768.1493997,42.11630311,494.1122493,51.46321644,595.947209,51.38093756,634.9824124,48.08827723,401.0275168,43.69143987,475.1612295,45,778.3460318,9.85963348,246.5585192,9.284238332,867.7058065,13.25642858,351.0901773,4.663377842,347.1340681,5.197891728,177.2012028,4.579074205,345.4898348,48.74761837,201.8850645,17.51624292,466.4148584,40,550.4000584
52.42157947,897.6260465,43.76425013,420.9418271,43.06373336,712.4905503,51.86616672,771.6880116,51.18885205,777.27122,46.52897459,310.621985,43.38533829,299.6633115,29.5987119,451.6943163,10.15091306,588.7337214,9.631545841,610.2342869,20.6549266,673.7694568,13.74325453,410.3020186,12.15378265,379.9794944,9.679895525,156.2429117,36.99857273,225.1724473,11.30657866,201.5091808,30.12870533,503.0170846
52.10284792,797.5684375,42.48076213,765.143131,42.12360509,773.7271101,51.38381261,412.6095804,51.5602517,569.6860409,46.84727346,378.946556,42.87135732,484.4267789,34.24439239,219.8158291,11.58529472,302.4533811,13.13569727,598.0426632,32.7804547,638.4864511,11.92037135,615.7239753,4.613106685,344.1012456,13.31508807,856.2661729,44.10106248,500.5439745,10.1699577,647.8172248,27.851273,592.3435961
52.58609647,449.7961987,43.59581398,726.0613933,42.49849512,709.4906527,51.14777715,485.3038887,52.31377176,929.4151034,48.81130866,418.2919685,42.81761524,379.7821161,37.08396235,478.3651388,9.836326005,340.3268765,6.208542524,511.2554106,36.53716556,886.134363,8.159161648,466.3745266,15.43963237,385.6239458,17.57921025,331.4175635,44.81715274,216.779095,20.31930532,271.6151964,27.13092996,101.3838351
52.29395169,830.4422444,43.48066825,856.3307175,42.75672433,513.3237604,51.8529909,743.0420106,51.3652981,756.6700813,48.1615893,465.4022611,43.36778642,571.8726961,36.81516081,219.2114179,12.19450979,362.0267551,10.40615922,541.8292579,37.44291832,842.9826766,7.107877959,580.0578984,10.68064251,527.5987657,16.21116044,454.2193128,49.62912769,677.4086418,12.34486908,431.918786,26.13735691,710.9856391
53.13,1000,42.86336,780.1446762,42.5150042,623.2052903,51.68223471,932.9691249,52.13019266,453.8859927,46.64661182,975.2574669,41.35996645,254.472988,27.0687058,235.1337674,2.338547592,125.419308,10.51291141,688.5875769,27.04855774,481.2624893,10.85174841,144.6607904,11.76379841,816.2665528,5.83449264,221.4490726,46.23816165,325.4915388,17.07072994,333.9707529,38.62858207,785.0865727
52.26868657,839.2882954,43.31053291,634.1214623,42.70275209,568.3131432,52.05538884,803.2266601,51.8841131,750.4924114,47.30324311,492.6306262,44.3193622,408.3718525,37.70035008,333.7885783,16.37120656,379.2266639,8.893751324,294.2506724,20.12879468,479.1447238,11.90928419,353.0293758,14.72382485,695.8546339,11.0733883,608.1754606,38.13357578,357.9117765,15.96962436,282.5631253,21.14825604,724.8806045
51.90019379,698.7012808,43.23145252,398.6055511,42.71176715,358.5656386,51.09358169,803.0096256,51.45595732,862.9425838,45.6719459,737.2899224,42.72678957,613.7515204,33.02750611,349.7086604,17.0759335,623.3596499,12.76389205,575.5397641,36.12816082,550.4473301,13.32788006,491.890868,6.691738193,349.0537021,11.1834182,337.1778523,49.45529148,491.8523282,12.68382548,882.551011,29.14634941,332.2849636
52.14947608,744.1901219,43.0505155,861.6567224,41.980294,400.9975086,51.29794702,728.8108096,51.76372028,622.4673953,47.17861372,615.3894563,41.22220297,580.2861781,36.48744099,681.5952707,14.73625775,599.5283804,10.55705186,221.0313392,29.71429029,305.0555934,13.93038592,575.3268449,8.099415313,283.01243,15.86682984,428.0376146,44.19516041,752.0649317,10.1856384,357.1490026,35.11861581,414.4449284
52.63465931,798.5041007,43.5468638,331.1144334,42.56792289,586.8763607,51.72600556,757.2603241,51.58752275,387.9968262,48.36204374,459.9805889,43.17315225,645.2399677,28.27014531,291.7986404,12.43366937,252.5392219,12.72406916,828.036165,44.65135854,419.1170765,8.731688409,638.4450635,3.687282772,307.7238874,16.28100442,681.858498,41.90323108,528.6063183,10.13467107,301.1323661,14.95014522,263.170578
53.04498244,783.621089,43.44467928,647.6852218,41.97167903,548.8406589,50.85593,727.4605851,51.25211958,255.6580941,45.92773049,165.09356,43.76045913,273.2318977,28.87863464,360.5954482,13.89707831,490.4494476,6.322378005,468.0736104,40.03279616,559.6843444,5.175343165,660.2466439,10.0246924,731.8718202,13.37885926,275.9905091,41.2399282,410.2976057,18.16225273,1000,35.34447478,447.1019161
52.81289548,901.9275233,42.48281963,233.4778589,42.09748544,889.2244918,51.54320894,699.7200988,52.47362624,1000,47.77076201,277.1503913,44.51968934,316.0751619,31.74734693,440.0260477,11.21614235,715.8949908,13.75849689,439.9349159,44.29396787,614.0581236,15.02476173,819.1241353,5.906964504,207.1693847,16.31996425,469.9816098,38.34940547,247.0345309,18.71917089,858.4675978,29.73815947,491.0973042
52.41642521,804.9897227,43.54541574,757.5688454,43.03781402,613.2021967,51.82447059,664.2587205,51.34355181,458.1891391,46.90856205,703.9567431,42.32190605,430.7704499,30.72887962,500.3837904,16.07439295,808.3924258,5.619529324,266.5327247,50,527.4514506,12.39554923,197.9819783,6.69057856,278.5357405,14.71191032,311.5360627,43.04573219,536.0657756,12.93624739,551.3800714,31.04251083,759.6887987
52.54512396,611.122797,43.53021046,745.0852972,42.18857495,672.9971719,50.64719132,562.7452921,51.25931223,858.1635565,48.80795636,485.1965842,42.50230847,322.2949812,37.48913816,465.0227553,18.58033309,293.4573698,13.10699657,720.7078817,44.75470039,875.4812938,7.727941097,544.1754874,6.801177599,863.7425632,16.75101776,334.7431885,41.89262854,396.0253989,12.49001702,547.150329,25.55502592,271.0758293
51.72444139,814.6513156,42.94978695,1000,42.84094264,463.6316688,51.32679701,639.4703904,51.5791161,697.2417491,48.82578203,309.1539109,42.00759154,586.1598894,27.93492954,262.9232356,11.16345304,750.1829254,13.45785241,169.2419345,28.62092742,899.2953652,9.209294645,974.6923964,3.789369477,163.2448412,10.1109656,757.0275437,39.67933025,606.8814922,7.609409619,648.6220373,26.50115857,100
52.26470201,841.8052234,43.10143228,516.9789271,42.09026903,773.9744681,51.25693306,797.4795454,51.45194146,628.5626767,46.77523635,401.0876205,42.67233005,632.2505681,36.43578096,505.8440705,17.36350616,497.5861888,7.778211882,201.6426402,30.46147287,306.5504535,10.78300974,542.0082613,11.32311893,606.7488662,17.22819514,623.2000195,32.06898053,191.2765274,9.139224905,634.8356485,21.43343593,405.9721731
52.70256953,817.5704373,43.34367793,207.3451071,42.61742455,763.8613518,51.67420759,468.4961071,51.25771123,833.1293852,48.30358234,305.8971885,43.73738768,357.859906,43.16358591,735.1593602,11.41887791,787.3885843,14.04809884,801.3709167,48.43251126,605.8198714,5.471128345,744.1635859,6.779580965,877.5428707,15.05439056,340.1149898,43.79609603,652.4030284,16.05344193,811.9050335,38.48486539,782.8527892
52.87790581,829.7819751,43.53440098,928.2505529,42.43829637,737.9551367,52.05054394,917.5410804,51.08084887,366.3830779,48.59548495,714.1089011,43.52014547,347.5635353,30.28078814,643.3039119,11.48312254,210.0773893,6.548074488,561.5481107,32.37874951,839.4541422,13.87075494,884.8207552,11.20735397,445.9026139,16.0470914,670.0151856,45.62199796,785.5858371,3.512802967,210.4431148,25.010723,303.874994
52.62270032,706.0259014,43.41585622,337.3510738,42.45659995,567.5304933,52.3012447,308.6593757,51.66797396,588.4777703,48.42267021,633.350864,41.99187377,576.867062,26.51297788,109.8138113,11.74858296,770.7128758,8.226326781,449.0929431,33.50041792,288.6667543,9.797402178,517.723856,19.52031423,770.5733471,12.33681059,249.5674068,35.94356776,251.2254223,16.85975082,387.4553917,26.47315947,293.970376
52.50817398,827.943541,43.39817732,554.931528,42.24704538,643.896473,50.9350646,522.9073018,51.67221088,750.4874335,45.77174363,564.3875439,42.76439733,405.5750971,38.0734864,629.0878709,6.293222042,168.862991,8.745274511,824.7661545,16.03967152,358.5899858,6.703651932,209.0149979,9.679704734,680.5522555,6.487665883,192.860581,42.04662232,437.6713977,10.71160915,300.1490565,28.42470648,502.4430022
